,bal,c2,kcc,scol
2019-05-24 00:00:00,,,,
2019-05-24 01:00:00,,,,
2019-05-24 02:00:00,,,,
2019-05-24 03:00:00,,,,
2019-05-24 04:00:00,,,,
2019-05-24 05:00:00,,,,
2019-05-24 06:00:00,,,,
2019-05-24 07:00:00,,,,
2019-05-24 08:00:00,,,,
2019-05-24 09:00:00,,,,
2019-05-24 10:00:00,,,,
2019-05-24 11:00:00,,,,
2019-05-24 12:00:00,,,,
2019-05-24 13:00:00,,,,
2019-05-24 14:00:00,,,,
2019-05-24 15:00:00,,,,
2019-05-24 16:00:00,,,,
2019-05-24 17:00:00,,,,
2019-05-24 18:00:00,,,,
2019-05-24 19:00:00,,,,
2019-05-24 20:00:00,,,,
2019-05-24 21:00:00,,,,
2019-05-24 22:00:00,,,,
2019-05-24 23:00:00,-22.938,-6.993,7.911,-18.380
2019-05-25 00:00:00,-22.906,-6.904,7.968,-18.330
2019-05-25 01:00:00,-22.899,-6.830,8.002,-18.313
2019-05-25 02:00:00,-22.904,-6.788,8.034,-18.315
2019-05-25 03:00:00,-22.935,-6.815,8.054,-18.308
2019-05-25 04:00:00,-22.981,-6.820,8.103,-18.324
2019-05-25 05:00:00,-23.003,-6.827,8.149,-18.360
2019-05-25 06:00:00,-23.038,-6.924,8.130,-18.384
2019-05-25 07:00:00,-23.069,-7.065,8.122,-18.425
2019-05-25 08:00:00,-23.094,-7.167,8.149,-18.477
2019-05-25 09:00:00,-23.106,-7.231,8.233,-18.523
2019-05-25 10:00:00,-23.179,-7.295,8.296,-18.558
2019-05-25 11:00:00,-23.253,-7.332,8.345,-18.558
2019-05-25 12:00:00,-23.385,-7.357,8.369,-18.559
2019-05-25 13:00:00,-23.483,-7.412,8.371,-18.547
2019-05-25 14:00:00,-23.498,-7.379,8.336,-18.535
2019-05-25 15:00:00,-23.472,-7.394,8.304,-18.534
2019-05-25 16:00:00,-23.441,-7.525,8.266,-18.515
2019-05-25 17:00:00,-23.420,-7.585,8.243,-18.547
2019-05-25 18:00:00,-23.395,-7.679,8.189,-18.600
2019-05-25 19:00:00,-23.374,-7.671,8.124,-18.643
2019-05-25 20:00:00,-23.418,-7.859,8.047,-18.666
2019-05-25 21:00:00,-23.451,-8.028,8.004,-18.679
2019-05-25 22:00:00,-23.494,-8.137,7.976,-18.701
