,denom,lapse,mu_elev,n,se
2019-05-24 00:00:00,,,,,
2019-05-24 01:00:00,,,,,
2019-05-24 02:00:00,,,,,
2019-05-24 03:00:00,,,,,
2019-05-24 04:00:00,,,,,
2019-05-24 05:00:00,,,,,
2019-05-24 06:00:00,,,,,
2019-05-24 07:00:00,,,,,
2019-05-24 08:00:00,,,,,
2019-05-24 09:00:00,,,,,
2019-05-24 10:00:00,,,,,
2019-05-24 11:00:00,,,,,
2019-05-24 12:00:00,,,,,
2019-05-24 13:00:00,,,,,
2019-05-24 14:00:00,,,,,
2019-05-24 15:00:00,,,,,
2019-05-24 16:00:00,,,,,
2019-05-24 17:00:00,,,,,
2019-05-24 18:00:00,,,,,
2019-05-24 19:00:00,,,,,
2019-05-24 20:00:00,,,,,
2019-05-24 21:00:00,,,,,
2019-05-24 22:00:00,,,,,
2019-05-24 23:00:00,12945020.750000,-0.006590,6662.250000,4.000000,2.649866
2019-05-25 00:00:00,12945020.750000,-0.006594,6662.250000,4.000000,2.737924
2019-05-25 01:00:00,12945020.750000,-0.006600,6662.250000,4.000000,2.842144
2019-05-25 02:00:00,12945020.750000,-0.006609,6662.250000,4.000000,2.900353
2019-05-25 03:00:00,12945020.750000,-0.006616,6662.250000,4.000000,2.872873
2019-05-25 04:00:00,12945020.750000,-0.006635,6662.250000,4.000000,2.877208
2019-05-25 05:00:00,12945020.750000,-0.006651,6662.250000,4.000000,2.847128
2019-05-25 06:00:00,12945020.750000,-0.006653,6662.250000,4.000000,2.721260
2019-05-25 07:00:00,12945020.750000,-0.006657,6662.250000,4.000000,2.507224
2019-05-25 08:00:00,12945020.750000,-0.006670,6662.250000,4.000000,2.332619
2019-05-25 09:00:00,12945020.750000,-0.006694,6662.250000,4.000000,2.171580
2019-05-25 10:00:00,12945020.750000,-0.006721,6662.250000,4.000000,2.100300
2019-05-25 11:00:00,12945020.750000,-0.006741,6662.250000,4.000000,2.093478
2019-05-25 12:00:00,12945020.750000,-0.006764,6662.250000,4.000000,2.193219
2019-05-25 13:00:00,12945020.750000,-0.006776,6662.250000,4.000000,2.230839
2019-05-25 14:00:00,12945020.750000,-0.006769,6662.250000,4.000000,2.328248
2019-05-25 15:00:00,12945020.750000,-0.006758,6662.250000,4.000000,2.296345
