,record#,T_HMP,RH,SYNOP,PRECIP,PRECIP_24,PRESS
2045-05-27 12:00:00,0,0.406,66.72,0,0.000,0.000,NAN
2045-05-27 13:00:00,1,-0.914,79.55,0,698.600,698.600,534.49
2019-10-10 06:00:00,2,-1.776,83.2,0,-0.020,698.600,534.48
2019-10-10 07:00:00,3,-2.305,86.9,0,0.010,698.600,534.66
2019-10-10 06:00:00,6,-3.983,97.7,0,-0.020,698.600,535.33
2019-10-10 07:00:00,7,-4.422,97.3,0,-0.020,698.500,535.49
2019-10-10 08:00:00,8,-4.861,95.9,0,-0.020,698.500,535.48
2019-10-10 09:00:00,9,-5.147,95.6,0,-0.030,698.500,535.26
2019-10-10 18:00:00,10,-5.436,95.6,0,-0.020,698.500,535.04
2019-10-10 19:00:00,11,-5.555,93.5,0,-0.040,698.400,534.84
2019-10-10 20:00:00,12,-5.84,89.8,0,-0.040,698.400,534.64
2019-10-10 21:00:00,13,-5.639,87.4,0,-0.030,698.400,534.45
2019-10-10 22:00:00,14,-5.887,78.72,0,-0.030,698.300,534.12
2019-10-10 23:00:00,15,-5.561,68.15,0,-0.020,698.300,534.41
2019-10-11 00:00:00,16,-5.106,59.24,0,-0.060,698.200,534.54
2019-10-11 01:00:00,17,-5.43,38.8,0,-0.050,698.200,534.95
2019-10-11 02:00:00,18,-5.147,36.96,0,-0.040,698.200,535.5
2019-10-11 03:00:00,19,-1.965,27.95,0,0.070,698.200,535.9
2019-10-11 04:00:00,20,-0.533,23.32,0,-0.180,698.000,536.21
2019-10-11 06:00:00,21,0.433,27.14,0,-0.060,698.000,536.04
2019-10-11 07:00:00,22,1.694,42.33,0,698.000,698.000,535.63
2019-10-11 08:00:00,23,1.973,47.06,0,-0.020,697.900,535.29
2019-10-11 09:00:00,24,1.75,46.79,0,-0.050,697.900,534.98
2019-10-11 10:00:00,25,1.464,61.03,0,-0.060,697.800,534.73
2019-10-11 11:00:00,26,0.269,74.31,0,-0.100,697.700,534.53
2019-10-11 12:00:00,27,-1.639,88.6,0,0.000,0.000,534.71
2019-10-11 13:00:00,28,-2.743,95,0,-0.030,-0.030,534.81
2019-10-11 14:00:00,29,-3.186,92,0,-0.030,-0.060,535.08
2019-10-11 15:00:00,30,-3.535,96.5,0,-0.040,-0.100,535.51
2019-10-11 16:00:00,31,-3.731,87.2,0,-0.030,-0.130,535.46
2019-10-11 17:00:00,32,-3.623,83.2,0,-0.030,-0.160,535.51
2019-10-11 18:00:00,33,-3.92,81.4,0,-0.020,-0.180,535.4
2019-10-11 19:00:00,34,-4.236,69.29,0,-0.040,-0.220,535.08
2019-10-11 20:00:00,35,-4.647,75.11,0,-0.040,-0.260,534.93
2019-10-11 21:00:00,36,-4.916,63.92,0,-0.030,-0.290,534.66
2019-10-11 22:00:00,37,-5.198,70.29,0,-0.030,-0.320,534.54
2019-10-11 23:00:00,38,-5.577,63.09,0,-0.030,-0.350,534.37
2019-10-12 00:00:00,39,-5.366,44.2,0,-0.050,-0.400,534.33
2019-10-12 01:00:00,40,-5.289,40.43,0,697.300,697.300,534.77
2019-10-12 02:00:00,41,-5.221,32.24,0,-0.050,697.200,535.09
2019-10-12 03:00:00,42,-5.248,32.16,0,-0.060,697.200,535.74
2019-10-12 04:00:00,43,-1.947,16.94,0,0.080,697.200,536.33
2019-10-12 05:00:00,44,-0.847,40.36,0,-0.190,697.000,536.61
2019-10-12 06:00:00,45,-0.282,41.3,0,-0.050,697.000,536.52
2019-10-12 07:00:00,46,0.929,53.58,0,-0.040,697.000,536.13
2019-10-12 08:00:00,47,0.989,55.85,0,-0.030,696.900,535.74
2019-10-12 09:00:00,48,1.064,61.6,0,-0.030,696.900,535.42
2019-10-12 10:00:00,49,0.362,72.85,0,-0.070,696.800,535.18
2019-10-12 11:00:00,50,-0.227,77.27,0,-0.030,696.800,535.12
2019-10-12 12:00:00,51,-1.903,93,0,-0.010,0.000,535.21
2019-10-12 13:00:00,52,-3.093,93.5,0,0.000,0.000,535.3
2019-10-12 14:00:00,53,-3.284,94.8,0,-0.030,-0.030,535.58
2019-10-12 15:00:00,54,-3.215,91.2,0,-0.030,-0.060,535.99
2019-10-12 16:00:00,55,-3.118,55.3,0,-0.040,-0.100,536.24
2019-10-12 17:00:00,56,-3.505,71.13,0,-0.020,-0.120,536.27
2019-10-12 18:00:00,57,-3.377,60.08,0,-0.040,-0.160,536.22
2019-10-12 19:00:00,58,-3.582,60.72,0,-0.040,-0.200,536.04
2019-10-12 20:00:00,59,-3.873,44.76,0,-0.050,-0.250,535.73
2019-10-12 21:00:00,60,-3.678,34.43,0,-0.070,-0.320,535.38
2019-10-12 22:00:00,61,-3.652,23.16,0,-0.070,-0.390,535.11
2019-10-12 23:00:00,62,-4.001,25.11,0,-0.070,-0.460,535.03
2019-10-13 00:00:00,63,-4.165,36.81,0,-0.070,-0.530,535.09
2019-10-13 01:00:00,64,-4.642,31.59,0,-0.080,-0.610,535.34
2019-10-13 02:00:00,65,-5.165,32.05,0,696.100,696.100,535.78
2019-10-13 03:00:00,66,-5.038,26.53,0,-0.050,696.100,536.43
2019-10-13 04:00:00,67,-1.882,23.33,0,-0.040,696.000,536.86
2019-10-13 05:00:00,68,-0.097,18.08,0,-0.170,695.900,537.05
2019-10-13 06:00:00,69,0.947,24.47,0,-0.060,695.800,536.95
2019-10-13 07:00:00,70,1.63,33.51,0,-0.030,695.800,536.43
2019-10-13 08:00:00,71,2.274,39.89,0,-0.080,695.700,535.99
2019-10-13 09:00:00,72,2.245,43.62,0,-0.050,695.600,535.73
2019-10-13 10:00:00,73,1.775,53.79,0,-0.030,695.600,535.36
2019-10-13 11:00:00,74,0.594,78.31,0,-0.070,695.500,535.39
2019-10-13 12:00:00,75,-1.153,82.4,0,0.010,0.000,535.59
2019-10-13 13:00:00,76,-2.521,94.4,0,0.000,0.000,535.68
2019-10-13 14:00:00,77,-3.638,92.5,0,-0.010,-0.010,535.95
2019-10-13 15:00:00,78,-3.304,77.92,0,-0.020,-0.030,536.43
2019-10-13 16:00:00,79,-2.709,62.19,0,-0.040,-0.070,536.48
2019-10-13 17:00:00,80,-2.48,61.09,0,-0.030,-0.100,536.63
2019-10-13 18:00:00,81,-2.587,47.99,0,-0.050,-0.150,536.59
2019-10-13 19:00:00,82,-3.082,45.83,0,-0.030,-0.180,536.5
2019-10-13 20:00:00,83,-2.951,40.3,0,-0.060,-0.240,536.26
2019-10-13 21:00:00,84,-3.163,38.86,0,-0.060,-0.300,535.91
2019-10-13 22:00:00,85,-4.038,43.64,0,-0.050,-0.350,535.93
2019-10-13 23:00:00,86,-4.17,45.5,0,-0.070,-0.420,535.76
2019-10-14 00:00:00,87,-4.151,34.88,0,-0.080,-0.500,535.69
2019-10-14 01:00:00,88,-4.26,28.16,0,695.000,695.000,536.03
2019-10-14 02:00:00,89,-4.285,27.25,0,-0.060,694.900,536.36
2019-10-14 03:00:00,90,-4.254,28.89,0,-0.080,694.800,536.94
2019-10-14 04:00:00,91,-2.036,22.77,0,0.010,694.800,537.36
2019-10-14 05:00:00,92,0.467,30.71,0,-0.160,694.700,537.6
2019-10-14 06:00:00,93,1.456,32.93,0,-0.060,694.600,537.49
2019-10-14 07:00:00,94,2.202,37.82,0,-0.030,694.600,537.24
2019-10-14 08:00:00,95,2.036,28.48,0,-0.060,694.500,536.97
2019-10-14 09:00:00,96,1.958,48.56,0,-0.070,694.500,536.5
2019-10-14 10:00:00,97,1.555,53.12,0,-0.090,694.400,536.31
2019-10-14 11:00:00,98,0.926,66.13,0,-0.070,694.300,536.08
2019-10-14 12:00:00,99,-1.377,89.8,0,-0.030,0.000,536.24
2019-10-14 13:00:00,100,-3.223,95.2,0,694.300,694.300,536.4
2019-10-14 14:00:00,101,-3.411,94.4,0,-0.020,694.300,536.6
2019-10-14 15:00:00,102,-2.766,83.8,0,-0.020,694.200,537.01
2019-10-14 16:00:00,103,-2.105,63.16,0,-0.030,694.200,537.18
2019-10-14 17:00:00,104,-2.179,55.3,0,-0.050,694.200,537.22
2019-10-14 18:00:00,105,-2.728,51.79,0,-0.050,694.100,537.15
