,record#,T_HMP,PRT,RH,SURF_TEMP,SUB_TEMP,PRECIP_CODE,PRECIP,PRECIP_24,WS_AVG,WDIR,WS_MAX,SW_IN_SAMP,SW_IN_MAX,SW_IN_AVG,SW_OUT_SAMP,SW_OUT_MAX,SW_OUT_AVG,LW_IN_SAMP,LW_IN_MAX,LW_IN_AVG,LW_OUT_SAMP,LW_OUT_MAX,LW_OUT_AVG,NET,SR50,PRESS
2019-04-17 16:00:00,85,1.658,-209.400,85.800,3.940,7.510,0,0.440,3.220,1.612,65.120,4.332,0,0,-0.100,0,0,0.000,290.970,320.063,301.324,323.938,326.614,324.125,0,1.818,649.062
2019-04-17 17:00:00,86,2.641,-205.600,87.900,3.660,7.190,0,0.000,3.220,1.022,43.340,2.277,-1,0,-0.750,0,0,0.000,274.339,293.943,284.977,320.032,324.206,322.696,0,1.819,649.016
2019-04-17 18:00:00,87,2.254,-212.500,74.480,2.940,6.870,0,0.000,3.220,1.868,49.210,3.165,-1,-1,-1.000,0,0,0.000,238.719,273.886,250.151,312.084,319.890,315.686,0,1.819,648.146
2019-04-17 19:00:00,88,1.519,-208.600,80.900,2.190,6.610,0,0.000,3.220,1.199,64.140,2.166,-1,-1,-1.000,0,0,0.000,246.267,246.404,238.385,309.736,312.381,310.152,0,1.819,647.618
2019-04-17 20:00:00,89,1.246,-207.200,81.000,1.830,6.320,0,0.000,3.220,1.399,42.840,2.999,-1,-1,-1.000,0,0,0.000,238.980,281.490,253.602,311.333,313.423,311.549,0,1.819,647.349
2019-04-17 21:00:00,90,1.251,-200.100,70.770,1.660,6.030,0,0.000,3.220,1.307,32.670,2.388,-1,-1,-1.000,0,0,0.000,231.342,239.982,234.584,311.647,312.500,311.813,0,1.819,646.955
2019-04-17 22:00:00,91,0.622,-212.500,59.470,1.580,5.770,0,0.000,3.220,1.873,38.160,3.165,-1,-1,-1.000,1,1,0.250,221.293,240.581,229.358,310.138,311.686,311.027,0,1.819,646.465
2019-04-17 23:00:00,92,0.506,-211.900,59.800,1.430,5.540,0,0.000,3.220,1.718,43.880,3.832,-1,-1,-1.000,0,1,0.567,215.706,221.154,218.392,308.095,310.097,309.131,0,1.816,646.267
2019-04-18 00:00:00,93,0.139,-211.800,61.670,1.280,5.330,0,0.000,3.220,1.883,27.940,3.110,7,7,0.417,1,1,0.333,212.996,217.080,215.209,306.116,308.285,307.173,0,1.817,646.759
2019-04-18 01:00:00,94,0.109,-211.400,44.070,1.360,5.140,0,0.000,3.220,2.117,41.900,4.276,242,242,50.817,40,40,8.017,209.992,213.072,211.344,308.721,308.721,306.291,0,1.817,646.918
2019-04-18 02:00:00,95,1.789,-204.200,36.030,2.100,5.010,0,0.000,3.220,1.444,35.690,3.165,501,501,374.067,51,51,47.017,220.691,220.691,214.300,318.106,318.106,312.642,0,1.817,647.293
2019-04-18 03:00:00,96,4.018,-206.800,57.480,5.270,4.920,0,0.000,3.220,1.112,120.300,2.610,734,734,621.333,80,80,64.600,235.971,235.971,227.849,360.365,360.365,334.185,0,1.820,647.808
2019-04-18 04:00:00,97,5.136,-208.600,60.590,7.540,4.970,0,0.000,3.220,2.125,133.300,4.887,945,945,844.600,116,116,98.150,244.508,244.508,239.380,383.405,385.371,374.400,0,1.820,648.029
2019-04-18 05:00:00,98,6.189,-215.000,60.520,6.050,5.190,0,0.000,3.220,2.754,134.700,5.109,1101,1101,1021.617,147,147,130.917,256.180,256.180,248.877,407.644,409.961,396.911,0,1.816,648.227
2019-04-18 06:00:00,99,6.990,-218.900,61.800,6.600,5.440,0,0.000,3.220,2.867,138.400,5.276,1264,1264,1157.367,193,193,164.850,274.114,278.575,261.818,417.505,425.232,413.693,0,1.817,647.809
2019-04-18 07:00:00,100,6.909,-222.000,67.970,11.280,5.700,0,0.000,3.220,3.453,132.200,7.219,363,1375,1104.933,58,234,180.467,284.181,297.685,280.731,392.975,431.571,417.650,0,1.817,647.643
2019-04-18 08:00:00,101,6.216,-216.700,61.060,11.990,6.150,0,0.000,3.220,3.132,136.500,5.498,984,1395,773.433,177,246,134.667,266.858,309.209,290.782,413.781,431.556,404.162,0,1.820,646.915
2019-04-18 09:00:00,102,6.468,-208.200,61.220,13.220,6.700,0,0.000,3.220,3.338,137.200,5.498,920,1167,743.683,180,217,137.533,255.343,274.470,261.121,405.135,415.323,397.140,0,1.820,646.299
2019-04-18 10:00:00,103,6.180,-208.300,74.910,14.150,7.260,0,0.000,3.220,3.345,133.900,5.942,703,918,761.067,145,180,152.883,262.591,265.950,254.345,398.876,410.003,400.426,0,1.818,646.048
2019-04-18 11:00:00,104,4.297,-222.200,87.900,10.800,7.720,0,0.000,3.220,2.911,129.000,4.609,78,684,209.817,12,142,39.383,269.949,287.425,257.044,346.586,397.164,360.771,0,1.818,645.994
2019-04-18 12:00:00,105,3.398,-219.300,89.700,8.730,8.050,0,0.000,0.000,1.315,129.600,3.165,27,78,52.583,4,12,8.117,276.691,282.228,269.680,340.118,346.911,342.869,0,1.819,646.123
2019-04-18 13:00:00,106,2.715,-213.300,97.300,7.390,8.100,0,0.000,0.000,0.769,136.000,1.833,-1,25,8.117,0,4,1.117,321.851,325.168,291.944,338.146,340.221,337.618,0,1.819,646.614
2019-04-18 14:00:00,107,2.191,-213.800,96.600,6.120,7.980,0,0.000,0.000,0.284,118.500,1.555,-1,0,-1.317,0,0,0.000,237.887,321.460,255.761,321.836,338.539,328.650,0,1.818,646.717
2019-04-18 15:00:00,108,1.760,-211.800,94.000,4.910,7.790,0,0.000,0.000,1.111,72.210,2.388,-1,0,-1.333,0,0,0.000,254.244,300.908,241.531,321.041,324.216,319.779,0,1.817,647.116
2019-04-18 16:00:00,109,1.284,-213.600,88.400,3.940,7.530,0,0.000,0.000,0.922,57.410,2.943,-2,-1,-1.400,0,0,0.000,227.440,258.293,232.638,312.578,320.908,315.508,0,1.819,647.351
