,record#,T_HMP,T_109,RH,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,SW_IN_SAMP,SW_IN_MAX,SW_IN_AVG,SW_OUT_SAMP,SW_OUT_MAX,SW_OUT_AVG,LW_IN_SAMP,LW_IN_MAX,LW_IN_AVG,LW_OUT_SAMP,LW_OUT_MAX,LW_OUT_AVG,NET,PRESS
2019-05-23 00:00:00,18.000,-21.600,-21.520,80.500,7.230,4.757,230.900,7.530,4.756,122.200,200.161,200.161,54.753,37.045,37.045,11.881,189.325,207.153,193.217,222.015,227.169,222.562,130.426,379.480
2019-05-23 01:00:00,19.000,-21.370,-21.050,57.040,9.930,6.262,237.100,10.130,6.358,115.700,446.635,446.635,337.577,123.694,123.694,80.811,126.999,189.897,162.212,229.885,229.885,225.453,220.055,379.830
2019-05-23 02:00:00,20.000,-21.410,-21.160,53.480,10.560,7.093,240.000,11.030,7.248,112.800,733.719,733.719,584.873,212.218,212.218,170.672,134.016,134.016,129.417,242.969,242.969,235.401,412.548,380.330
2019-05-23 03:00:00,21.000,-20.710,-20.470,24.140,14.390,6.833,253.200,14.330,7.000,99.100,990.960,994.392,872.402,228.019,244.570,230.643,135.228,137.442,134.450,263.454,263.808,252.562,634.715,380.490
2019-05-23 04:00:00,22.000,-19.840,-19.670,29.760,12.630,7.875,273.400,12.690,8.130,79.370,1185.366,1185.366,1091.634,197.560,229.570,216.498,141.467,142.368,138.067,289.763,289.763,276.635,839.511,380.560
2019-05-23 05:00:00,23.000,-19.510,-19.260,37.950,13.230,7.866,254.600,13.490,8.110,98.300,1313.135,1314.542,1264.074,177.030,196.792,182.974,144.930,150.458,146.008,314.211,314.510,305.278,966.824,380.470
2019-05-23 06:00:00,24.000,-18.670,-18.360,67.090,15.690,9.300,252.700,16.030,9.560,100.000,1073.378,1457.157,1334.043,147.229,192.481,175.935,205.927,205.927,155.742,336.534,337.739,326.270,795.541,380.290
2019-05-23 07:00:00,25.000,-18.940,-18.710,80.800,18.160,9.510,252.000,19.030,9.750,100.800,587.891,1323.899,604.815,99.079,174.362,94.099,230.009,234.889,227.070,299.175,337.749,305.512,419.646,380.080
2019-05-23 08:00:00,26.000,-19.180,-18.920,83.800,19.030,10.900,250.300,19.530,11.260,102.500,677.739,1306.196,754.477,114.158,202.670,124.104,230.270,232.358,224.041,300.711,308.580,300.719,493.140,379.680
2019-05-23 09:00:00,27.000,-18.640,-18.470,82.100,21.290,11.880,252.300,21.460,12.290,100.800,678.985,1252.617,729.871,110.505,213.467,119.514,233.649,235.680,228.433,299.247,309.031,301.257,502.881,379.410
2019-05-23 10:00:00,28.000,-19.050,-18.950,82.400,25.090,13.470,252.300,26.360,14.040,100.000,326.500,1450.904,527.345,59.238,214.868,85.314,231.299,234.897,227.563,274.367,306.280,290.366,224.194,378.770
2019-05-23 11:00:00,29.000,-19.160,-19.020,82.200,23.020,9.220,245.900,23.760,9.430,108.000,227.618,792.880,242.680,90.919,158.094,60.383,232.174,236.510,232.837,256.905,278.405,262.910,111.967,379.390
2019-05-23 12:00:00,30.000,-19.710,-19.440,80.900,14.330,7.698,244.000,14.460,7.895,109.100,185.515,616.613,330.922,67.270,241.179,123.288,154.951,235.878,183.126,260.632,266.147,261.188,12.564,379.560
2019-05-23 13:00:00,31.000,-20.070,-19.460,80.700,13.530,7.753,232.700,14.130,7.986,119.700,6.109,356.138,0.000,7.019,144.334,0.000,136.754,186.490,147.358,241.333,265.882,253.580,-105.489,379.660
2019-05-23 14:00:00,32.000,-20.900,-20.730,71.040,14.760,8.060,228.700,14.930,8.290,124.100,-4.213,0.209,0.000,1.766,1.766,0.000,128.410,142.753,133.205,225.374,240.457,230.961,-102.943,379.810
2019-05-23 15:00:00,33.000,-20.920,-20.830,73.210,15.760,8.090,237.900,16.260,8.320,115.300,-5.201,-4.086,0.000,0.556,1.556,0.000,124.680,130.321,126.389,218.973,225.241,222.140,-100.050,380.000
2019-05-23 16:00:00,34.000,-21.350,-21.230,70.230,14.430,7.186,225.400,14.890,7.413,128.400,-5.335,-3.919,0.000,0.366,1.556,0.000,122.818,137.920,127.647,215.552,220.384,218.171,-98.435,
2019-05-23 17:00:00,35.000,-21.440,-21.340,63.380,12.560,5.059,197.900,12.830,5.172,154.300,-5.445,-3.881,0.000,1.113,2.145,0.000,120.217,131.316,121.541,211.957,216.049,213.995,-98.298,
2019-05-23 18:00:00,36.000,-21.700,-21.660,68.700,12.000,4.502,228.900,12.330,4.637,122.100,-5.344,-2.359,0.000,0.603,1.744,0.000,123.866,189.822,126.876,211.651,220.119,212.493,-93.732,380.380
2019-05-23 19:00:00,37.000,-21.830,-21.650,55.250,11.300,5.827,222.900,11.160,5.993,130.500,-5.358,-4.166,0.000,1.224,1.632,0.000,116.373,123.995,119.249,208.639,211.618,209.980,-98.849,380.200
2019-05-23 20:00:00,38.000,-21.780,-21.680,55.850,9.560,3.074,223.300,9.630,3.246,133.600,-4.894,-3.886,0.000,1.392,1.798,0.000,119.592,121.124,119.090,206.257,208.972,207.745,-92.951,379.900
2019-05-23 21:00:00,39.000,-22.050,-21.980,49.830,9.130,4.256,208.700,9.300,4.351,143.500,-4.680,-3.335,0.000,0.772,2.201,0.000,118.731,120.504,119.166,205.712,207.263,206.289,-92.433,379.580
2019-05-23 22:00:00,40.000,-21.570,-21.540,34.570,9.000,3.351,207.000,8.930,3.484,145.600,-4.920,-2.828,0.000,0.881,2.410,0.000,118.622,119.033,117.770,205.454,205.862,204.798,-92.633,379.790
2019-05-23 23:00:00,41.000,-21.390,-21.300,44.790,10.800,6.293,228.500,11.560,6.511,124.600,-5.062,-3.972,0.000,0.518,1.468,0.000,123.935,123.935,120.966,206.840,206.988,206.210,-88.485,379.990
2019-05-24 00:00:00,42.000,-21.420,-21.250,38.310,14.260,7.747,242.200,14.790,7.915,110.600,148.593,148.593,45.893,23.496,23.496,8.279,128.134,128.352,124.554,212.388,212.388,208.904,40.842,380.550
2019-05-24 01:00:00,43.000,-20.570,-20.370,29.820,13.490,8.620,245.800,14.060,8.950,107.100,419.932,419.932,282.002,70.593,70.593,46.020,130.728,130.728,128.440,226.835,226.835,218.934,253.231,380.800
2019-05-24 02:00:00,44.000,-20.000,-19.830,29.730,11.830,7.265,244.500,12.330,7.407,108.100,694.935,694.935,562.381,124.172,124.172,99.033,134.597,134.940,132.453,246.800,246.800,236.121,458.560,381.300
2019-05-24 03:00:00,45.000,-19.220,-18.990,27.950,11.200,5.684,251.900,11.660,5.934,101.500,931.859,931.859,820.648,166.390,166.390,145.319,139.864,139.959,137.005,275.275,275.275,260.429,630.059,381.500
2019-05-24 04:00:00,46.000,-18.650,-18.390,28.820,10.130,6.131,248.700,10.400,6.282,103.900,1117.357,1117.357,1030.974,185.144,186.169,177.863,142.501,142.501,140.827,297.681,298.103,285.523,777.033,381.590
2019-05-24 05:00:00,47.000,-17.750,-17.570,35.260,12.060,7.007,260.700,12.330,7.268,91.700,1262.360,1262.360,1197.289,195.438,196.180,190.390,146.395,148.986,145.025,318.525,319.573,310.159,894.793,381.640
2019-05-24 06:00:00,48.000,-17.290,-17.140,42.330,13.930,8.870,260.900,14.560,9.330,92.100,1319.280,1334.455,1302.477,198.613,200.836,197.965,152.446,154.519,149.848,333.449,333.449,327.034,939.665,381.490
2019-05-24 07:00:00,49.000,-16.780,-16.550,45.720,16.560,10.590,254.700,17.230,11.070,97.900,1249.587,1387.055,1313.772,183.592,204.818,195.243,157.568,164.340,157.033,340.249,341.837,336.089,883.313,381.220
2019-05-24 08:00:00,50.000,-16.260,-16.060,60.530,16.190,10.170,253.600,16.630,10.620,99.400,984.589,1540.480,1031.163,142.754,219.797,152.916,208.405,217.381,189.294,333.288,344.929,335.831,716.952,381.080
2019-05-24 09:00:00,51.000,-16.010,-15.720,69.720,14.190,9.560,251.600,14.830,9.970,101.000,852.841,1502.799,908.799,127.159,214.019,138.245,186.408,240.832,206.866,329.793,346.858,334.541,582.298,380.750
2019-05-24 10:00:00,52.000,-16.000,-15.780,62.190,17.690,10.940,251.100,18.190,11.440,101.500,354.780,1288.937,647.668,56.215,192.576,125.349,230.607,241.213,184.224,313.013,331.301,323.752,216.159,380.530
2019-05-24 11:00:00,53.000,-16.870,-16.690,46.300,18.590,10.790,254.700,19.560,11.240,98.300,650.759,1112.891,537.655,108.026,167.252,83.910,176.019,229.645,211.587,298.872,319.055,307.462,419.879,380.350
2019-05-24 12:00:00,54.000,-17.130,-16.890,83.400,17.390,9.410,248.500,17.890,9.770,104.500,389.432,787.828,464.113,75.023,128.289,79.137,216.783,237.743,198.713,295.221,303.728,297.509,235.972,380.380
2019-05-24 13:00:00,55.000,-17.750,-17.380,68.280,13.190,7.324,238.100,13.630,7.445,115.000,-2.749,505.793,0.000,0.532,100.615,0.000,149.061,236.336,188.245,257.972,296.265,280.855,-112.191,380.490
2019-05-24 14:00:00,56.000,-18.980,-18.990,57.380,9.200,2.595,219.600,9.260,2.658,130.800,-6.228,-2.485,0.000,1.929,3.761,0.000,137.328,149.824,138.823,240.446,256.935,246.788,-111.275,380.900
