,LAPSE,LW_IN_AVG,PRESS,REF_WS,REF_Z,RH,RH_err,SW_IN_AVG,SW_OUT_AVG,SW_err,T_109,T_HMP,T_err,WS_AVG
2019-05-25 00:00:00,-0.006594,137.247833,336.592314,11.310000,7945.000000,46.722007,83.678964,159.177325,127.341860,13.038476,-26.197570,-26.197570,4.127518,12.794856
2019-05-25 01:00:00,-0.006600,132.409727,336.860183,12.870000,7945.000000,39.900255,98.578516,435.053901,348.043121,35.181397,-26.123000,-26.123000,4.205342,14.554038
2019-05-25 02:00:00,-0.006609,133.095666,337.108708,11.920000,7945.000000,40.567542,93.946291,697.102176,557.681741,52.154484,-26.021145,-26.021145,4.248188,13.628601
2019-05-25 03:00:00,-0.006616,137.882979,337.167410,15.280000,7945.000000,44.533629,83.667652,926.050741,740.840593,74.398087,-25.057480,-25.057480,4.228015,17.398985
2019-05-25 04:00:00,-0.006635,133.191653,337.094234,13.660000,7945.000000,38.022912,97.537495,1112.106358,889.685086,96.539634,-25.024675,-25.024675,4.231204,15.501160
2019-05-25 05:00:00,-0.006651,137.331999,337.150707,14.350000,7945.000000,42.619612,88.481741,1237.642356,990.113885,112.928510,-24.629155,-24.629155,4.209028,16.311093
2019-05-25 06:00:00,-0.006653,137.795196,336.650361,15.650000,7945.000000,41.240798,91.068969,1290.327421,1032.261937,119.632236,-23.890965,-23.890965,4.114938,17.926704
2019-05-25 07:00:00,-0.006657,137.941505,336.738784,14.200000,7945.000000,41.176952,92.039021,1261.965200,1009.572160,120.630388,-23.794585,-23.794585,3.949798,16.185683
2019-05-25 08:00:00,-0.006670,137.441183,336.491207,13.960000,7945.000000,39.782832,93.983625,1187.963094,950.370475,64.770675,-23.536350,-23.536350,3.809783,16.015098
2019-05-25 09:00:00,-0.006694,149.590193,336.143404,12.720000,7945.000000,55.426370,60.845754,1025.466406,820.373125,29.675590,-23.178070,-23.178070,3.675921,14.581203
2019-05-25 10:00:00,-0.006721,145.282588,336.009573,11.910000,7945.000000,60.179413,46.885155,810.238476,648.190781,46.449106,-22.922505,-22.922505,3.615089,13.654603
2019-05-25 11:00:00,-0.006741,137.987595,335.584900,12.900000,7945.000000,38.969367,90.433686,559.537202,447.629762,40.932436,-22.970605,-22.970605,3.609213,14.760170
2019-05-25 12:00:00,-0.006764,140.393080,335.430518,12.580000,7945.000000,43.121479,86.100691,277.090594,221.672475,7.157566,-23.281420,-23.281420,3.694191,14.359069
2019-05-25 13:00:00,-0.006776,133.695364,335.682790,11.670000,7945.000000,34.781365,101.166934,0.000000,0.000000,0.000000,-23.582280,-23.582280,3.725739,13.273218
2019-05-25 14:00:00,-0.006769,132.449302,335.894159,10.480000,7945.000000,36.442037,105.023823,0.000000,0.000000,0.000000,-24.815945,-24.815945,3.806211,11.850190
2019-05-25 15:00:00,-0.006758,148.013638,336.320309,5.241000,7945.000000,57.124836,66.062760,0.000000,0.000000,0.000000,-24.585990,-24.585990,3.780044,5.836102
2019-05-25 16:00:00,-0.006742,150.513400,336.592585,5.013000,7945.000000,59.554696,63.915158,0.000000,0.000000,0.000000,-24.221510,-24.221510,3.611975,5.510853
2019-05-25 17:00:00,-0.006736,154.557051,336.510993,5.374000,7945.000000,66.516721,42.333033,0.000000,0.000000,0.000000,-24.746080,-24.746080,3.516874,6.022192
2019-05-25 18:00:00,-0.006725,159.693026,335.952713,5.865000,7945.000000,75.490985,24.169817,0.000000,0.000000,0.000000,-25.466125,-25.466125,3.383161,6.537561
2019-05-25 19:00:00,-0.006712,150.491286,335.469051,14.140000,8430.000000,63.170828,63.951747,0.000000,0.000000,0.000000,-25.569040,-25.569040,3.394827,14.754743
2019-05-25 20:00:00,-0.006700,117.622091,334.582655,14.300000,7945.000000,19.498306,57.049150,0.000000,0.000000,0.000000,-26.063500,-26.063500,3.240079,16.184749
2019-05-25 21:00:00,-0.006694,113.306798,334.571701,12.740000,7945.000000,13.549795,61.266599,0.000000,0.000000,0.000000,-26.048070,-26.048070,3.088727,14.434706
2019-05-25 22:00:00,-0.006694,116.827834,334.364407,12.900000,7945.000000,19.461196,74.149531,0.000000,0.000000,0.000000,-26.458070,-26.458070,3.012964,14.622762
2019-05-25 23:00:00,-0.006710,110.852952,334.170909,13.390000,7945.000000,12.432574,71.611619,0.000000,0.000000,0.000000,-26.892550,-26.892550,2.879174,15.250981
2019-05-26 00:00:00,-0.006719,111.102103,334.169114,12.870000,7945.000000,16.979629,80.314017,163.438964,130.751171,5.655815,-28.500695,-28.500695,2.801058,14.881818
2019-05-26 01:00:00,-0.006735,118.740120,334.150617,14.540000,7945.000000,27.136170,79.479681,443.251095,354.600876,16.360114,-28.385175,-28.385175,2.727399,16.685880
2019-05-26 02:00:00,-0.006744,117.193873,334.812000,14.830000,7945.000000,24.235168,104.709866,708.787014,567.029612,23.029418,-28.083320,-28.083320,2.747592,16.882250
2019-05-26 03:00:00,-0.006753,120.458218,334.876334,13.830000,7945.000000,27.707517,114.641349,945.131890,756.105512,23.322786,-27.701465,-27.701465,2.774684,15.776610
2019-05-26 04:00:00,-0.006761,125.646148,335.472098,12.320000,7945.000000,33.884895,104.480810,1122.256341,897.805073,29.331554,-27.348705,-27.348705,2.791437,14.068955
2019-05-26 05:00:00,-0.006764,130.862532,335.719128,11.510000,7945.000000,37.671369,98.230079,1235.581845,988.465476,34.443515,-26.081420,-26.081420,2.937833,13.282239
2019-05-26 06:00:00,-0.006768,137.036566,335.945329,11.850000,7945.000000,43.719180,84.745788,1282.677149,1026.141719,40.135897,-25.185040,-25.185040,2.980341,13.456270
2019-05-26 07:00:00,-0.006771,146.509052,336.150950,10.130000,7945.000000,54.743793,62.891981,1259.860369,1007.888296,36.921935,-24.467755,-24.467755,3.036033,11.564741
2019-05-26 08:00:00,-0.006772,149.407737,336.206501,9.030000,7945.000000,58.033343,45.386648,1159.609167,927.687334,51.112837,-24.218660,-24.218660,3.127094,10.275837
2019-05-26 09:00:00,-0.006763,148.503162,336.131300,9.110000,7945.000000,53.419591,67.321562,996.657619,797.326095,70.479807,-22.990515,-22.990515,3.323991,10.424954
2019-05-26 10:00:00,-0.006755,150.022323,336.178586,9.510000,7945.000000,62.945029,45.337429,788.623122,630.898498,56.717325,-23.303275,-23.303275,3.369665,10.827581
2019-05-26 11:00:00,-0.006727,178.893634,336.464060,5.840000,7945.000000,73.883447,14.070425,540.944358,432.755487,51.479627,-21.407935,-21.407935,3.405448,6.511743
2019-05-26 12:00:00,-0.006695,187.450323,336.775298,4.530000,7945.000000,79.573449,6.181025,266.916264,213.533011,33.228188,-22.578975,-22.578975,3.263004,5.091086
