Unnamed: 0,elev,lat,lon,yrst,yrstp
3237,325.0,46.0,70.0,1957.0,2002.0
3238,500.0,45.9,72.65,1962.0,1963.0
3242,347.0,45.05,74.03,1948.0,1955.0
3251,443.0,45.333,78.01,1959.0,2019.0
3253,432.0,44.317,76.7,1959.0,2002.0
3254,680.9,43.352,77.04,1996.0,2019.0
3255,1719.0,42.2,78.2,1959.0,1997.0
3256,3040.0,41.8,75.76,1960.0,1998.0
3304,0.0,44.833,72.0,1982.0,1982.0
3307,442.0,40.215,69.69,2004.0,2019.0
3308,474.0,40.98,71.58,2004.0,2005.0
3314,456.0,43.7,73.78,1959.0,2019.0
3315,422.1,42.364,69.47,1948.0,2019.0
3316,665.7,42.854,71.3,2007.0,2019.0
3317,808.0,42.483,70.3,1959.0,2019.0
3318,627.3,43.061,74.47,2004.0,2019.0
3324,431.9,41.258,69.28,1932.0,2019.0
3325,466.0,41.32,69.4,2005.0,2011.0
3328,1937.0,41.9,71.35,1959.0,2002.0
3329,477.0,40.733,72.33,1959.0,2019.0
3331,345.0,40.117,67.83,1948.0,2019.0
3332,250.0,40.833,67.66,1959.0,1963.0
3333,474.0,40.983,71.58,1948.0,2019.0
3334,892.1,40.609,72.79,1996.0,2019.0
3335,603.5,40.367,71.75,1948.0,2019.0
3338,3143.0,39.567,68.58,1961.0,2019.0
3339,1507.0,39.383,68.61,1961.0,2005.0
3340,3373.0,39.083,68.86,1961.0,2019.0
3341,784.9,38.543,68.82,1932.0,2019.0
3342,4169.0,38.917,72.16,1937.0,2005.0
3343,3930.0,39.083,73.41,1959.0,2002.0
3345,313.0,37.287,67.31,1948.0,2019.0
3586,1320.0,38.433,70.8,1973.0,2007.0
3587,1040.0,37.883,70.21,1973.0,2007.0
3588,1200.0,37.117,70.51,1973.0,2013.0
3590,391.4,36.707,67.21,1973.0,2019.0
3591,433.0,36.667,68.91,1973.0,2019.0
3592,448.1,36.667,68.9,2010.0,2013.0
3594,2620.0,36.7,71.56,2002.0,2017.0
3595,2600.0,36.5,71.25,1958.0,2002.0
3597,1350.0,35.917,67.28,2010.0,2010.0
3598,810.0,37.467,69.66,1980.0,2003.0
3599,1630.0,35.133,69.25,1973.0,1994.0
3600,3400.0,34.583,68.1,1979.0,2018.0
3601,1042.0,35.21,71.52,2009.0,2012.0
3606,2550.0,34.817,67.81,1973.0,2019.0
3607,2710.0,34.383,67.03,1975.0,1979.0
3609,2114.0,34.583,68.98,1958.0,1959.0
3610,2240.0,34.4,68.88,2009.0,2014.0
3611,1791.3,34.566,69.21,1957.0,2019.0
3612,1357.9,34.867,69.63,2009.0,2013.0
3613,770.0,34.65,70.21,1961.0,2014.0
3614,510.0,34.317,70.76,2002.0,2002.0
3615,1214.6,34.267,70.2,2011.0,2013.0
3616,566.9,34.4,70.49,1973.0,2019.0
3619,1020.0,34.983,70.9,2009.0,2011.0
3620,2059.0,33.32,68.5,1958.0,1961.0
3621,2975.0,34.3,67.85,1979.0,1980.0
3622,2183.0,33.533,68.41,1960.0,2019.0
3623,2019.9,33.367,69.41,2009.0,2013.0
3624,1951.9,33.8,69.81,2011.0,2013.0
3625,1146.0,33.35,69.95,1973.0,2013.0
3626,1383.2,33.35,69.73,2014.0,2014.0
3634,1902.0,31.967,67.05,2009.0,2013.0
3636,2126.0,33.117,68.03,2012.0,2013.0
3637,1996.4,32.737,67.62,2009.0,2014.0
3638,2800.0,32.2,68.35,1957.0,2011.0
3639,2001.9,32.633,68.26,2011.0,2012.0
3640,2141.2,32.9,68.5,2012.0,2013.0
3641,2132.0,33.05,69.5,2009.0,2010.0
3642,1814.0,32.933,69.45,2010.0,2012.0
3643,2266.2,33.126,68.83,2007.0,2013.0
3644,2212.0,32.533,69.2,2006.0,2012.0
3748,786.0,34.833,71.81,2008.0,2018.0
3749,1250.0,35.5,71.7,2006.0,2018.0
3750,1457.2,35.919,74.33,1973.0,2018.0
3751,2316.5,35.336,75.53,1944.0,2019.0
3753,148.0,29.967,70.48,2005.0,2018.0
3754,951.0,34.733,72.35,1974.0,2008.0
3755,970.0,34.817,72.35,2005.0,2019.0
3756,2652.0,34.75,72.9,2007.0,2018.0
3757,2303.0,34.367,73.48,1973.0,2008.0
3758,320.0,34.081,71.97,1973.0,2018.0
3759,508.4,33.617,73.09,1944.0,2019.0
3760,525.0,33.717,73.1,2005.0,2018.0
3761,921.0,32.983,70.11,1944.0,2003.0
3762,210.3,32.563,71.57,1944.0,2018.0
3763,58.2,27.722,68.79,2005.0,2019.0
3764,188.0,32.05,72.66,1973.0,2019.0
3765,253.0,32.583,73.5,2005.0,2018.0
3766,255.0,32.5,74.53,2009.0,2019.0
3767,256.0,32.5,74.53,1944.0,2019.0
3768,1417.3,31.358,69.46,1944.0,2019.0
3769,181.1,31.909,70.89,1944.0,2019.0
3770,156.0,30.983,72.46,2008.0,2018.0
3771,215.0,31.55,74.33,1944.0,2019.0
3772,217.0,31.522,74.4,1976.0,2019.0
3773,125.0,30.05,70.63,1973.0,2008.0
3776,1801.0,30.75,67.86,1957.0,1963.0
3777,121.9,30.203,71.41,1944.0,2019.0
3778,1098.0,29.883,69.71,1973.0,2019.0
3779,134.0,29.55,67.88,1957.0,2019.0
3780,113.0,29.4,71.78,1944.0,2019.0
3782,56.4,28.284,68.45,1944.0,2019.0
3783,82.6,28.384,70.28,2008.0,2018.0
3786,50.9,27.335,68.14,2015.0,2017.0
3810,3513.0,34.15,77.56,1944.0,1948.0
3811,1690.0,33.583,75.08,2003.0,2019.0
3812,314.0,32.683,74.83,1973.0,1991.0
3813,312.0,32.233,75.63,1973.0,1975.0
3814,230.4,31.71,74.79,1973.0,2019.0
3816,213.4,29.179,75.75,1944.0,2019.0
3817,2311.0,29.467,79.65,1944.0,2019.0
3818,236.8,28.567,77.1,1975.0,2019.0
3819,214.9,28.585,77.2,1942.0,2019.0
3820,176.8,28.422,79.45,1944.0,2019.0
3821,167.9,27.156,77.96,1942.0,2019.0
3822,100.6,27.295,94.09,1943.0,2019.0
3823,110.3,27.484,95.01,1942.0,2019.0
3858,1089.1,31.877,77.15,2004.0,2019.0
3859,308.5,30.673,76.78,2006.0,2019.0
3860,3255.9,34.136,77.54,2006.0,2019.0
3940,2234.8,27.403,89.42,2010.0,2019.0
3949,2515.0,34.317,75.31,1944.0,1963.0
3968,1494.0,42.9,100.21,1973.0,2019.0
3970,187.0,28.8,80.55,2005.0,2019.0
3971,720.0,28.6,81.61,1976.0,2019.0
3972,165.0,28.1,81.66,2005.0,2019.0
3973,2300.0,29.283,82.16,1975.0,2019.0
3974,826.6,28.201,83.98,1977.0,2019.0
3975,109.1,27.506,83.41,1977.0,2019.0
3976,137.2,27.159,84.98,1974.0,2019.0
3977,1338.1,27.697,85.35,1973.0,2019.0
3978,2003.0,27.633,86.23,1978.0,1978.0
3979,1732.0,27.35,87.66,1978.0,2019.0
4314,409.0,27.333,97.41,1943.0,2019.0
4648,1067.0,45.95,82.56,1959.0,2002.0
4649,1651.0,45.367,90.53,1959.0,2019.0
4650,335.0,44.817,85.6,1956.0,1957.0
4651,663.0,43.95,81.33,1958.0,2019.0
4652,919.0,43.783,87.61,1956.0,2019.0
4653,647.7,43.907,87.47,1985.0,2019.0
4654,985.0,41.3,81.68,1962.0,1962.0
4655,1380.4,39.543,76.02,1957.0,2019.0
4656,3159.0,37.783,75.23,1957.0,1960.0
4657,1375.0,37.133,79.93,1956.0,2019.0
4658,3061.0,37.85,91.48,1956.0,1961.0
4659,3700.0,36.333,78.0,1957.0,1960.0
4660,739.0,42.817,93.51,1956.0,2019.0
4661,941.0,41.95,101.06,1960.0,2019.0
4662,0.0,42.083,101.66,1974.0,2002.0
4663,1770.0,41.8,97.03,1959.0,2019.0
4664,946.0,41.967,100.88,1957.0,1958.0
4665,1360.0,40.467,97.18,1962.0,1962.0
4666,1554.0,40.717,98.61,1973.0,1990.0
4668,0.0,39.833,96.75,1980.0,1984.0
4669,1478.0,39.767,98.48,1946.0,2019.0
4670,1947.1,36.515,103.62,2004.0,2019.0
4671,2154.0,39.617,98.05,1961.0,1961.0
4672,1354.0,39.383,99.71,1956.0,1961.0
4673,3746.0,39.167,94.83,1962.0,1962.0
4674,1525.0,38.083,102.91,1956.0,1961.0
4675,3978.0,37.5,98.8,1961.0,1962.0
4676,3353.0,37.683,100.7,1974.0,1985.0
4677,2934.0,37.15,102.21,1974.0,1974.0
4678,2728.0,37.267,102.88,1974.0,1976.0
4679,2415.0,37.233,103.4,1973.0,2002.0
4681,2731.0,36.817,95.35,1973.0,2001.0
4682,2809.0,36.417,94.9,1956.0,2019.0
4683,2976.0,36.067,97.75,1973.0,1975.0
4684,2262.0,36.617,101.76,1956.0,2019.0
4685,1951.0,36.567,103.7,1973.0,2002.0
4686,1600.0,36.117,103.61,1974.0,2002.0
4687,4877.0,35.167,92.83,1974.0,2002.0
4688,0.0,35.5,99.33,1984.0,1985.0
4689,3962.0,35.717,98.91,1990.0,2010.0
4690,4723.0,35.767,99.16,1960.0,1960.0
4691,0.0,35.167,98.75,1983.0,1985.0
4692,0.0,35.267,100.65,1973.0,1989.0
4693,3050.0,35.233,102.5,1956.0,1958.0
4767,5304.0,30.333,90.08,1959.0,1962.0
4768,3650.0,29.667,91.13,1956.0,2019.0
4769,4648.0,33.417,92.83,1959.0,1962.0
4770,3890.0,32.817,97.13,2010.0,2015.0
4771,0.0,34.833,97.46,1974.0,2001.0
4772,3330.0,34.1,102.9,1974.0,1974.0
4774,4024.0,31.883,93.78,1957.0,2019.0
4775,4185.0,31.55,92.86,1973.0,1974.0
4776,4147.0,32.783,99.91,1960.0,1961.0
4777,5108.0,30.1,95.78,1956.0,1957.0
4778,495.3,30.579,103.94,1956.0,2019.0
4780,4553.0,29.033,100.16,1957.0,1963.0
4781,2209.0,29.583,102.71,1960.0,1961.0
4782,3049.0,29.517,103.33,1956.0,2019.0
4783,4413.0,28.883,98.58,1960.0,1964.0
4784,900.0,29.133,100.48,2007.0,2019.0
4785,1892.0,28.217,103.0,1959.0,1961.0
6018,657.2,34.53,70.35,2001.0,2001.0
6025,1492.0,34.933,69.25,1987.0,2003.0
6032,378.0,36.71,67.21,1984.0,1999.0
6040,1989.0,32.8,67.63,1977.0,1998.0
6063,1150.6,33.339,69.95,1989.0,2000.0
6064,114.0,36.667,87.5,1987.0,1991.0
6076,2016.0,33.917,69.06,1985.0,2000.0
6078,255.0,32.5,74.53,1989.0,1998.0
6109,1863.0,32.517,68.86,1982.0,1995.0
6123,653.0,34.183,70.81,1991.0,2000.0
6126,1042.0,35.217,71.51,1985.0,1993.0
6134,1805.3,34.53,69.19,1995.0,2002.0
12971,100.0,27.15,94.9,1944.0,1945.0
13025,500.0,31.117,104.0,1945.0,1945.0
13026,539.0,30.45,103.53,1945.0,1945.0
13030,1543.0,36.0,103.75,1945.0,1946.0
13031,486.0,30.417,103.91,1946.0,1946.0
