,elev,lat,lon,yrst,yrstp
0,9.0,70.933,-8.66,1931.0,2019.0
1,48.8,59.792,5.34,1986.0,2019.0
2,48.0,59.98,2.25,1988.0,2005.0
3,8.0,78.917,11.93,1973.0,2014.0
4,9.0,78.067,13.63,1931.0,2004.0
5,26.8,78.246,15.46,1975.0,2019.0
6,5.0,80.65,25.0,1955.0,2019.0
7,13.1,69.293,16.14,1931.0,2019.0
8,14.0,69.6,17.83,1980.0,2019.0
9,76.8,69.056,18.54,1940.0,2019.0
10,0.0,64.35,7.8,2004.0,2019.0
11,9.4,69.683,18.91,1973.0,2019.0
12,18.0,74.517,19.01,1931.0,2019.0
13,24.0,70.25,19.5,1973.0,2019.0
14,38.0,70.317,20.15,1987.0,2014.0
15,710.0,69.567,20.1,1973.0,2019.0
16,20.0,69.383,20.28,1973.0,2019.0
17,6.4,70.487,22.14,1996.0,2019.0
18,6.0,69.833,21.88,1973.0,2019.0
19,4.9,69.787,20.95,1975.0,2019.0
20,307.0,69.017,23.06,1973.0,2019.0
21,2.7,69.976,23.37,1973.0,2019.0
22,81.0,70.683,23.68,1940.0,2019.0
23,70.0,70.683,23.68,1973.0,1987.0
24,14.2,71.1,23.98,1931.0,2019.0
25,381.0,69.567,23.53,2005.0,2019.0
26,7.6,70.069,24.97,1973.0,2019.0
27,10.0,76.5,25.06,1955.0,2019.0
28,6.0,70.45,25.21,1973.0,1987.0
29,33.0,71.067,26.23,1973.0,2004.0
30,14.0,71.017,25.98,1980.0,2019.0
31,13.0,71.033,27.83,1975.0,2019.0
32,10.0,71.1,28.23,1973.0,2019.0
33,13.0,70.867,29.03,1975.0,2019.0
34,149.4,70.6,29.69,1996.0,2019.0
35,90.0,59.567,2.21,2011.0,2019.0
36,90.0,66.017,8.08,2011.0,2019.0
37,90.0,60.633,3.71,2011.0,2019.0
38,90.0,61.45,2.13,2011.0,2019.0
39,90.0,61.533,2.2,2011.0,2019.0
40,39.0,70.067,29.85,1975.0,2019.0
41,23.0,68.467,17.5,2008.0,2008.0
42,626.1,62.578,11.34,1996.0,2019.0
43,141.1,59.185,9.56,1996.0,2015.0
44,30.0,58.367,1.9,2009.0,2019.0
45,20.0,60.886,3.61,2011.0,2019.0
46,86.3,69.726,29.89,1940.0,2019.0
47,9.0,70.7,30.08,1973.0,2019.0
48,12.8,70.355,31.04,1996.0,2019.0
49,16.0,65.2,11.0,1975.0,2019.0
50,80.0,65.333,7.31,1999.0,2019.0
51,18.0,67.417,11.88,2007.0,2007.0
52,2.0,67.517,12.1,1928.0,2008.0
53,4.0,67.517,12.1,1988.0,2019.0
54,33.0,66.0,11.68,1996.0,2005.0
55,7.6,65.461,12.21,1973.0,2019.0
56,798.0,60.417,8.51,1986.0,2003.0
57,17.1,65.95,12.46,1973.0,2019.0
58,10.0,66.367,12.61,1973.0,2019.0
59,72.2,65.784,13.21,1988.0,2019.0
60,31.0,67.883,13.05,1973.0,1985.0
61,319.0,65.167,13.36,2008.0,2019.0
62,339.0,65.183,13.41,1973.0,2007.0
63,14.0,67.3,13.5,1985.0,2007.0
64,4.0,67.65,12.71,2011.0,2019.0
65,26.0,68.15,13.61,1973.0,2019.0
66,24.0,67.4,13.88,2005.0,2019.0
67,15.0,68.35,13.96,1973.0,1982.0
68,70.0,66.367,14.3,1973.0,2019.0
69,12.8,67.269,14.36,1940.0,2019.0
70,30.0,68.583,14.3,1994.0,2017.0
71,12.0,68.633,14.46,1973.0,2004.0
72,7.6,68.6,14.43,2004.0,2019.0
73,11.0,68.15,14.65,1973.0,2019.0
74,9.0,68.25,14.66,1973.0,2019.0
75,3.0,68.583,15.01,1973.0,2019.0
76,23.0,68.65,15.28,1973.0,2006.0
77,26.0,66.967,15.31,1973.0,1978.0
78,53.0,68.0,15.61,1973.0,2006.0
79,25.6,68.491,16.67,1975.0,2019.0
80,45.0,68.933,16.68,1973.0,1978.0
81,23.0,68.467,17.5,1996.0,2017.0
82,23.0,68.467,17.5,1973.0,2004.0
83,204.0,68.783,19.7,2010.0,2019.0
84,37.2,62.333,5.26,1973.0,2019.0
85,74.0,62.183,6.06,1984.0,2019.0
86,74.0,62.183,6.05,1984.0,1984.0
87,21.0,62.56,6.11,1973.0,2019.0
88,15.0,62.867,6.53,1955.0,2019.0
89,35.0,62.62,7.23,1973.0,2009.0
90,16.0,62.617,7.21,1973.0,2002.0
91,3.0,62.745,7.26,1976.0,2019.0
92,62.2,63.112,7.82,1973.0,2019.0
93,13.0,63.467,7.75,1996.0,1996.0
94,67.0,62.45,7.85,1973.0,2019.0
95,974.0,62.117,9.28,1973.0,2019.0
96,1012.0,62.217,9.55,2010.0,2019.0
97,16.0,64.167,9.4,1985.0,2019.0
98,8.5,63.699,9.6,1973.0,2019.0
99,30.0,63.967,10.21,2008.0,2019.0
100,113.0,63.417,10.43,1973.0,1981.0
101,18.4,64.4,10.45,1973.0,2019.0
102,33.0,64.8,10.55,1928.0,2019.0
103,17.1,63.458,10.94,1940.0,2019.0
104,14.0,64.85,11.23,1995.0,2019.0
105,626.0,62.583,11.35,1984.0,2004.0
106,626.0,62.583,11.38,1979.0,1984.0
