elev,lat,lon,yrst,yrstp,notes,reference
9,70.93,-8.66,1931,2019,ISD,
48.8,59.79,5.34,1986,2019,ISD,
48,59.98,2.25,1988,2005,ISD,
8,78.92,11.93,1973,2014,ISD,
9,78.07,13.63,1931,2004,ISD,
26.8,78.25,15.46,1975,2019,ISD,
5,80.65,25,1955,2019,ISD,
13.1,69.29,16.14,1931,2019,ISD,
14,69.6,17.83,1980,2019,ISD,
76.8,69.06,18.54,1940,2019,ISD,
0,64.35,7.8,2004,2019,ISD,
9.4,69.68,18.91,1973,2019,ISD,
18,74.52,19.01,1931,2019,ISD,
24,70.25,19.5,1973,2019,ISD,
38,70.32,20.15,1987,2014,ISD,
710,69.57,20.1,1973,2019,ISD,
20,69.38,20.28,1973,2019,ISD,
6.4,70.49,22.14,1996,2019,ISD,
6,69.83,21.88,1973,2019,ISD,
4.9,69.79,20.95,1975,2019,ISD,
307,69.02,23.06,1973,2019,ISD,
2.7,69.98,23.37,1973,2019,ISD,
81,70.68,23.68,1940,2019,ISD,
70,70.68,23.68,1973,1987,ISD,
14.2,71.1,23.98,1931,2019,ISD,
381,69.57,23.53,2005,2019,ISD,
7.6,70.07,24.97,1973,2019,ISD,
10,76.5,25.06,1955,2019,ISD,
6,70.45,25.21,1973,1987,ISD,
33,71.07,26.23,1973,2004,ISD,
14,71.02,25.98,1980,2019,ISD,
13,71.03,27.83,1975,2019,ISD,
10,71.1,28.23,1973,2019,ISD,
13,70.87,29.03,1975,2019,ISD,
149.4,70.6,29.69,1996,2019,ISD,
90,59.57,2.21,2011,2019,ISD,
90,66.02,8.08,2011,2019,ISD,
90,60.63,3.71,2011,2019,ISD,
90,61.45,2.13,2011,2019,ISD,
90,61.53,2.2,2011,2019,ISD,
39,70.07,29.85,1975,2019,ISD,
23,68.47,17.5,2008,2008,ISD,
626.1,62.58,11.34,1996,2019,ISD,
141.1,59.19,9.56,1996,2015,ISD,
30,58.37,1.9,2009,2019,ISD,
20,60.89,3.61,2011,2019,ISD,
86.3,69.73,29.89,1940,2019,ISD,
9,70.7,30.08,1973,2019,ISD,
12.8,70.36,31.04,1996,2019,ISD,
16,65.2,11,1975,2019,ISD,
80,65.33,7.31,1999,2019,ISD,
18,67.42,11.88,2007,2007,ISD,
2,67.52,12.1,1928,2008,ISD,
4,67.52,12.1,1988,2019,ISD,
33,66,11.68,1996,2005,ISD,
7.6,65.46,12.21,1973,2019,ISD,
798,60.42,8.51,1986,2003,ISD,
17.1,65.95,12.46,1973,2019,ISD,
10,66.37,12.61,1973,2019,ISD,
72.2,65.78,13.21,1988,2019,ISD,
31,67.88,13.05,1973,1985,ISD,
319,65.17,13.36,2008,2019,ISD,
339,65.18,13.41,1973,2007,ISD,
14,67.3,13.5,1985,2007,ISD,
4,67.65,12.71,2011,2019,ISD,
26,68.15,13.61,1973,2019,ISD,
24,67.4,13.88,2005,2019,ISD,
15,68.35,13.96,1973,1982,ISD,
70,66.37,14.3,1973,2019,ISD,
12.8,67.27,14.36,1940,2019,ISD,
30,68.58,14.3,1994,2017,ISD,
12,68.63,14.46,1973,2004,ISD,
7.6,68.6,14.43,2004,2019,ISD,
11,68.15,14.65,1973,2019,ISD,
9,68.25,14.66,1973,2019,ISD,
3,68.58,15.01,1973,2019,ISD,
23,68.65,15.28,1973,2006,ISD,
26,66.97,15.31,1973,1978,ISD,
53,68,15.61,1973,2006,ISD,
25.6,68.49,16.67,1975,2019,ISD,
45,68.93,16.68,1973,1978,ISD,
23,68.47,17.5,1996,2017,ISD,
23,68.47,17.5,1973,2004,ISD,
204,68.78,19.7,2010,2019,ISD,
37.2,62.33,5.26,1973,2019,ISD,
74,62.18,6.06,1984,2019,ISD,
74,62.18,6.05,1984,1984,ISD,
21,62.56,6.11,1973,2019,ISD,
15,62.87,6.53,1955,2019,ISD,
35,62.62,7.23,1973,2009,ISD,
16,62.62,7.21,1973,2002,ISD,
3,62.75,7.26,1976,2019,ISD,
62.2,63.11,7.82,1973,2019,ISD,
13,63.47,7.75,1996,1996,ISD,
67,62.45,7.85,1973,2019,ISD,
974,62.12,9.28,1973,2019,ISD,
