"","y_sum","y_col","ws_sum","ws_col"
"1",45.254799,38.113588,67.619108,57.363687
"2",44.589247,39.705974,75.092945,64.236312
"3",45.467316,40.088636,57.82515,49.565948
"4",44.46697,38.412452,58.974017,52.280269
"5",45.507841,40.254238,73.934362,64.816898
"6",41.68073,37.812253,72.570701,63.799838
"7",43.129837,39.030826,72.393868,59.809543
"8",44.146993,40.404839,62.567441,53.238951
"9",45.17945,38.990336,58.372045,52.917929
"10",43.547618,37.268588,67.134724,59.001062
"11",45.301519,39.685252,74.780923,66.333112
"12",44.925116,38.654462,69.105875,59.813221
"13",45.632584,40.432306,73.117225,60.969139
"14",48.877531,42.421768,74.838157,64.17452
"15",45.259014,42.257488,72.532833,68.430981
"16",45.359642,40.034596,65.127191,56.863802
"17",44.642359,41.028055,72.212552,60.651222
"18",44.875032,38.721045,62.781095,54.758347
"19",45.252793,39.826914,74.31835,66.632966
"20",43.975238,38.343892,72.223299,63.933191
"21",43.881327,40.693833,58.090858,51.603667
"22",43.995242,39.626408,71.137867,59.941005
"23",43.172252,36.88335,76.242079,63.117116
"24",46.143732,38.990334,71.286252,61.788361
"25",44.777344,40.042962,63.614913,58.394126
"26",45.76832,39.91634,70.910398,61.074712
"27",45.542014,38.559215,66.142252,59.21383
"28",43.146535,37.342521,63.91959,57.557862
"29",44.408159,38.788083,65.677804,61.235574
"30",43.642191,39.321203,70.196095,63.094978
"31",44.583626,39.357679,62.197718,55.560878
"32",45.094322,38.247555,63.198511,52.050766
"33",44.743247,41.019345,70.097187,59.572711
"34",43.680848,39.291758,73.792983,63.645706
"35",44.833465,37.88289,73.3209,65.804286
"36",43.115645,35.843935,70.739672,63.139011
"37",46.31386,39.792178,69.518964,64.764668
"38",45.78433,39.416206,72.521444,62.428614
"39",44.150393,38.459989,65.137927,55.189155
"40",43.121017,38.466938,69.955116,61.238997
