elev,lat,lon,yrst,yrstp,notes
9,70.93,-8.66,1931,2019,
48.8,59.79,5.34,1986,2019,
26.8,78.25,15.46,1975,2019,
5,80.65,25,1955,2019,
13.1,69.29,16.14,1931,2019,
14,69.6,17.83,1980,2019,
76.8,69.06,18.54,1940,2019,
0,64.35,7.8,2004,2019,
9.4,69.68,18.91,1973,2019,
18,74.52,19.01,1931,2019,
24,70.25,19.5,1973,2019,
710,69.57,20.1,1973,2019,
20,69.38,20.28,1973,2019,
6.4,70.49,22.14,1996,2019,
6,69.83,21.88,1973,2019,
4.9,69.79,20.95,1975,2019,
307,69.02,23.06,1973,2019,
2.7,69.98,23.37,1973,2019,
81,70.68,23.68,1940,2019,
14.2,71.1,23.98,1931,2019,
381,69.57,23.53,2005,2019,
7.6,70.07,24.97,1973,2019,
10,76.5,25.06,1955,2019,
14,71.02,25.98,1980,2019,
13,71.03,27.83,1975,2019,
10,71.1,28.23,1973,2019,
13,70.87,29.03,1975,2019,
149.4,70.6,29.69,1996,2019,
90,59.57,2.21,2011,2019,
90,66.02,8.08,2011,2019,
90,60.63,3.71,2011,2019,
90,61.45,2.13,2011,2019,
90,61.53,2.2,2011,2019,
39,70.07,29.85,1975,2019,
626.1,62.58,11.34,1996,2019,
30,58.37,1.9,2009,2019,
20,60.89,3.61,2011,2019,
86.3,69.73,29.89,1940,2019,
9,70.7,30.08,1973,2019,
12.8,70.36,31.04,1996,2019,
16,65.2,11,1975,2019,
80,65.33,7.31,1999,2019,
4,67.52,12.1,1988,2019,
7.6,65.46,12.21,1973,2019,
17.1,65.95,12.46,1973,2019,
10,66.37,12.61,1973,2019,
72.2,65.78,13.21,1988,2019,
319,65.17,13.36,2008,2019,
4,67.65,12.71,2011,2019,
26,68.15,13.61,1973,2019,
24,67.4,13.88,2005,2019,
70,66.37,14.3,1973,2019,
12.8,67.27,14.36,1940,2019,
7.6,68.6,14.43,2004,2019,
11,68.15,14.65,1973,2019,
9,68.25,14.66,1973,2019,
3,68.58,15.01,1973,2019,
25.6,68.49,16.67,1975,2019,
204,68.78,19.7,2010,2019,
37.2,62.33,5.26,1973,2019,
74,62.18,6.06,1984,2019,
21,62.56,6.11,1973,2019,
15,62.87,6.53,1955,2019,
3,62.75,7.26,1976,2019,
62.2,63.11,7.82,1973,2019,
67,62.45,7.85,1973,2019,
974,62.12,9.28,1973,2019,
1012,62.22,9.55,2010,2019,
16,64.17,9.4,1985,2019,
8.5,63.7,9.6,1973,2019,
30,63.97,10.21,2008,2019,
18.4,64.4,10.45,1973,2019,
33,64.8,10.55,1928,2019,
